AAA,Anaa,Anaa
AAB,Arrabury,Arrabury
AAC,International,El Arish
AAD,Adado,Adado
AAE,Rabah Bitat,Annaba
AAF,Regional,Apalachicola
AAG,Avelino Vieira,Arapoti
AAH,Merzbrueck,Aachen
AAI,Arraias,Arraias
AAJ,Cajana,Awaradam
AAK,Aranuka,Aranuka
AAL,Airport,Aalborg
AAM,Mala Mala,Mala Mala
AAN,International,Al Ain
AAO,Anaco,Anaco
AAP,AP Tumenggung Pranoto,Samarinda
AAQ,Vityazevo,Anapa
AAR,Airport,Aarhus
AAS,Apalapsili,Apalapsili
AAT,Altay,Altay
AAU,Asau,Asau
AAV,Allah Valley,Surallah
AAX,Araxa,Araxa
AAY,Al Ghaydah,Al Ghaydah
AAZ,Quetzaltenango,Quetzaltenango
ABA,Abakan,Abakan
ABB,International,Asaba
ABC,Airport,Albacete
ABD,Abadan,Abadan
ABE,Lehigh Valley Intl,Allentown
ABF,Abaiang,Abaiang
ABG,Abingdon Downs,Abingdon Downs
ABH,Alpha,Alpha
ABI,Regional,Abilene
ABJ,Felix Houphouet-Boigny,Abidjan
ABK,Kebri Dehar,Kebri Dehar
ABL,Ambler,Ambler
ABM,Northern Peninsula,Bamaga
ABN,Albina,Albina
ABO,Aboisso,Aboisso
ABP,Atkamba,Atkamba
ABQ,International Sunport,Albuquerque
ABR,Regional,Aberdeen
ABS,Abu Simbel,Abu Simbel
ABT,Al-Aqiq,Al Baha
ABU,Haliwen,Atambua
ABV,Nnamdi Azikiwe Intl,Abuja
ABW,Abau,Abau
ABX,Albury,Albury
ABY,Southwest Georgia Rgnl,Albany
ABZ,Dyce,Aberdeen
ACA,Juan N. Alvarez Intl,Acapulco
ACB,Antrim County,Bellaire
ACC,Kotoka Intl,Accra
ACD,Alcides Fernandez,Acandi
ACE,Lanzarote,Lanzarote
ACH,St Gallen-Altenrhein,Altenrhein
ACI,Alderney,Alderney
ACJ,Anuradhapura,Anuradhapura
ACK,Memorial,Nantucket
ACL,Aguaclara,Aguaclara
ACM,Arica,Arica
ACN,International,Ciudad Acuna
ACP,Sahand,Maragheh
ACR,Araracuara,Araracuara
ACS,Achinsk,Achinsk
ACT,Regional,Waco
ACU,Achutupo,Achutupo
ACV,Arcata Apt,Arcata/Eureka
ACX,Xingyi,Xingyi
ACY,International,Atlantic City
ACZ,Zabol,Zabol
ADA,Sakirpasa,Adana
ADB,Adnan Menderes,Izmir
ADC,Andakombe,Andakombe
ADD,Bole Intl,Addis Ababa
ADE,International,Aden
ADF,Adiyaman,Adiyaman
ADG,Lenawee County,Adrian
ADH,Aldan,Aldan
ADI,Arandis,Arandis
ADJ,Marka Intl,Amman
ADK,Adak Island,Adak Island
ADL,International,Adelaide
ADM,Municipal,Ardmore
ADN,Andes,Andes
ADO,Andamooka,Andamooka
ADP,Gal Oya,Ampara
ADQ,Kodiak Airport,Kodiak
ADR,Robert F. Swinnie,Andrews
ADS,Addison,Dallas
ADT,Municipal,Ada
ADU,Ardabil,Ardabil
ADV,Addeain,Addeain
ADW,Joint Base Andrews,Camp Springs
ADX,Leuchars RAF,St Andrews
ADY,Alldays,Alldays
ADZ,Gustavo R. Pinilla Int,San Andres Island
AEA,Abemama,Abemama
AEB,Youjiang,Baise
AEE,Adareil,Adareil
AEG,Aekgodang,Padangsidempuan
AEH,Abeche,Abeche
AEK,Aseki,Aseki
AEL,Municipal,Albert Lea
AEM,Amgu,Amgu
AEO,Aioun El Atrouss,Aioun el Atrouss
AEP,Jorge Newbery,Buenos Aires
AEQ,Ar Horqin,Chifeng
AER,International,Sochi
AES,Vigra,Alesund
AET,Allakaket,Allakaket
AEU,Abu Musa Island,Abu Musa Island
AEX,International,Alexandria
AEY,Akureyri,Akureyri
AFA,San Rafael,San Rafael
AFD,Port Alfred,Port Alfred
AFF,USAF Academy Airfield,Colorado Springs
AFI,Amalfi,Amalfi
AFK,Kondavattavan Tank SPB,Ampara
AFL,Oswaldo Marques Dias,Alta Floresta
AFN,Silver Ranch,Jaffrey
AFO,Municipal,Afton
AFR,Afore,Afore
AFS,Zarafshan,Zarafshan
AFT,Afutara,Afutara
AFW,Alliance,Fort Worth
AFY,Afyon,Afyon
AFZ,Sabzevar,Sabzevar
AGA,Al Massira,Agadir
AGB,Augsburg Airport,Munich
AGC,Allegheny County,Pittsburgh
AGD,Anggi,Anggi
AGE,Wangerooge,Wangerooge
AGF,La Garenne,Agen
AGG,Angoram,Angoram
AGH,Airport,Angelholm/Helsingborg
AGI,Wageningen,Wageningen
AGJ,Aguni,Aguni
AGK,Kagua,Kagua
AGL,Wanigela,Wanigela
AGN,Sea Plane Base,Angoon
AGO,Municipal,Magnolia
AGP,Airport,Malaga
AGQ,G.Karaiskakis,Agrinion
AGR,Agra,Agra
AGS,Regional (Bush Field),Augusta
AGT,Guarani Intl,Ciudad del Este
AGU,Jesus Teran Peredo Int,Aguascalientes
AGV,Oswaldo Guevara Mujica,Acarigua
AGW,Agnew,Agnew
AGX,Agatti Island,Agatti Island
AGZ,Aggeneys,Aggeneys
AHB,Abha,Abha
AHC,Amedee AAF,Herlong
AHD,Downtown Executive,Ardmore
AHE,Ahe,Ahe
AHF,Municipal,Arapahoe
AHH,Municipal,Amery
AHI,Amahai,Amahai
AHJ,Aba/Hongyuan,Aba/Hongyuan
AHL,Aishalton,Aishalton
AHM,Municipal,Ashland
AHN,Ben Epps,Athens
AHO,Fertilia,Alghero
AHS,Ahuas,Ahuas
AHU,Cherif El Idrissi,Al Hoceima
AHW,Saih Rawl,Saih Rawl
AHY,Ambatolahy,Ambatolahy
AHZ,L'Alpe-d'Huez,L'Alpe-d'Huez
AIA,Municipal,Alliance
AIC,Ailinglapalap,Airok
AID,Municipal,Anderson
AIE,Aiome,Aiome
AIF,Marcelo P. Halzhausen,Assis
AIG,Yalinga,Yalinga
AIH,Aiambak,Aiambak
AII,Ali Sabieh,Ali Sabieh
AIK,Municipal,Aiken
AIL,Ailigandi,Ailigandi
AIM,Ailuk Island,Ailuk Island
AIN,Wainwright,Wainwright
AIO,Municipal,Atlantic
AIP,Adampur,Adampur
AIR,Aripuana,Aripuana
AIS,Arorae,Arorae
AIT,Aitutaki Island,Aitutaki Island
AIU,Atiu Island,Atiu Island
AIV,George Downer,Aliceville
AIW,Ai-Ais,Ai-Ais
AIZ,Lee C Fine Memorial,Kaiser/Lake Ozark
AJA,Napoleon Bonaparte,Ajaccio
AJF,Jouf,Jouf
AJI,Agri,Agri
AJJ,Akjoujt,Akjoujt
AJK,Arak,Arak
AJL,Lengpui,Aizawl
AJN,Ouani,Anjouan
AJR,Arvidsjaur,Arvidsjaur
AJS,Punta Abreojos,Punta Abreojos
AJU,Santa Maria,Aracaju
AJY,Manu Dayak Intl,Agadez
AKA,Fuqiang,Ankang
AKB,Atka,Atka
AKC,Akron Fulton Intl,Akron/Canton
AKD,Akola,Akola
AKE,Akieni,Akieni
AKF,Kufra,Kufra
AKG,Anguganak,Anguganak
AKH,Prince Sultan AB,Al Kharj
AKI,Akiak,Akiak
AKJ,Asahikawa,Asahikawa
AKK,Akhiok,Akhiok
AKL,International,Auckland
AKM,Zakouma,Zakouma
AKN,King Salmon,King Salmon
AKO,Colorado Plains Rgnl,Akron
AKP,Anaktuvuk Pass,Anaktuvuk Pass
AKQ,Astra Ksetra,Menggala
AKR,Akure,Akure
AKS,Gwaunaru'u,Auki
AKT,RAF Station,Akrotiri
AKU,Aksu,Aksu
AKV,Akulivik,Akulivik
AKW,Aghajari,Aghajari
AKX,Aktobe,Aktobe
AKY,Sittwe,Sittwe
ALA,International,Almaty
ALB,International,Albany
ALC,Airport,Alicante
ALD,Alerta,Alerta
ALE,Casparis Municipal,Alpine
ALF,Alta,Alta
ALG,Houari Boumediene,Algiers
ALH,Albany,Albany
ALI,International,Alice
ALJ,Alexander Bay,Alexander Bay
ALK,Asela,Asela
ALL,Albenga,Albenga
ALM,White Sands Regional,Alamogordo
ALN,St Louis Regional,Alton
ALO,Regional,Waterloo
ALP,International,Aleppo
ALQ,G.Machado Ramos,Alegrete
ALR,Alexandra,Alexandra
ALS,San Luis Valley Rgnl,Alamosa
ALT,Alenquer,Alenquer
ALU,Alula,Alula
ALW,Regional,Walla Walla
ALX,Thomas C Russell Field,Alexander City
ALY,El Nouzha,Alexandria
